-
san,tsr,633037,623750,FBpp0087227,FBpp0072097,0.000,0.000,0.000,0.000,0.451,0.000,0.000,0.000,0.451
Bub1,CG31917,627780,627761,FBpp0078704,FBpp0078673,0.000,0.000,0.000,0.000,0.000,0.402,0.000,0.000,0.402
tsu,baf,633257,628056,FBpp0087648,FBpp0079157,0.000,0.000,0.000,0.000,0.651,0.000,0.000,0.000,0.651
CG7911,CG17331,631701,628917,FBpp0084971,FBpp0080490,0.000,0.000,0.000,0.000,0.410,0.000,0.000,0.000,0.409
CG6459,l(3)01239,632332,626140,FBpp0086051,FBpp0075967,0.000,0.000,0.000,0.000,0.625,0.000,0.000,0.000,0.626
san,His2Av,633037,631377,FBpp0087227,FBpp0084434,0.000,0.000,0.000,0.000,0.696,0.000,0.000,0.000,0.696
mod,ran,631862,624491,FBpp0085233,FBpp0073328,0.000,0.000,0.000,0.000,0.936,0.085,0.000,0.000,0.938
mRpL14,CG13364,622652,622501,FBpp0070389,FBpp0070154,0.000,0.000,0.000,0.000,0.647,0.000,0.000,0.000,0.647
SmG,CG17737,634940,624226,FBpp0111906,FBpp0072908,0.000,0.000,0.000,0.000,0.410,0.000,0.000,0.000,0.411
CG11980,CG17331,629545,628917,FBpp0081443,FBpp0080490,0.000,0.000,0.000,0.000,0.597,0.000,0.000,0.000,0.597
mRpL12,Tom20,626290,625312,FBpp0076238,FBpp0074672,0.000,0.000,0.000,0.000,0.574,0.000,0.000,0.336,0.699
Cct5,T-cp1,632951,630904,FBpp0087095,FBpp0083684,0.000,0.000,0.525,0.855,0.998,0.823,0.944,0.506,0.999
Nedd8,CG7519,629086,627370,FBpp0080733,FBpp0078009,0.000,0.000,0.000,0.000,0.483,0.085,0.000,0.000,0.495
Srp19,CG12848,626496,623906,FBpp0076589,FBpp0072342,0.000,0.000,0.000,0.000,0.430,0.000,0.000,0.000,0.431
CG15019,Nlp,635015,631667,FBpp0112052,FBpp0084918,0.000,0.000,0.000,0.000,0.655,0.000,0.000,0.000,0.655
YL-1,CG7597,628439,627373,FBpp0079735,FBpp0078013,0.000,0.000,0.000,0.000,0.000,0.601,0.000,0.000,0.601
Bin1,Aos1,630329,629915,FBpp0082731,FBpp0082065,0.000,0.000,0.000,0.000,0.836,0.000,0.000,0.000,0.836
